Unnamed: 0,Code,Description,Unit,Rate,URL,Comments,Explictness,Step1_desired_unit,Step1_desired_value,Output,img_path,cluster_type,cluster_probability
0,BME4001,High Yield bar reinforcement (Grade 500) 25mm,t,3923.4,https://www.metals4u.co.uk/shop-by-application/building-construction/concrete-reinforcement/rebar/7552-p,260 meters per ton x cost per metre (note 24mm not 25mm but same)  May 24 ce updates £15.09 exc vat added url ,direct,meter,1.0,,screenshots\case_0.png,0,1.0
1,BME4002,High Yield bar reinforcement (Grade 500) 20mm,t,3178.98,https://www.metals4u.co.uk/shop-by-application/building-construction/concrete-reinforcement/rebar/7550-p,406 metres per ton x cost per metre    20mm   May 24 ce updates £7.83  exc vat added url ,direct,meter,1.0,,screenshots\case_1.png,0,1.0
2,BME4003,High Yield bar reinforcement (Grade 500) 16mm,t,3138.3,https://www.metals4u.co.uk/shop-by-application/building-construction/concrete-reinforcement/rebar/7548-p,634 metres per ton x cost per metre    16mm    May 24 ce updates £4.95  exc vat added url ,direct,meter,1.0,,screenshots\case_2.png,0,0.7861530824528712
3,BME4004,High Yield bar reinforcement (Grade 500) 12mm,t,3558.16,https://www.metals4u.co.uk/shop-by-application/building-construction/concrete-reinforcement/rebar/7547-p,1126 metres per ton x cost per metre  12mm    May 24 ce updates £3.16  exc vat added url ,direct,meter,1.0,,screenshots\case_3.png,0,1.0
4,BME4005,High Yield bar reinforcement (Grade 500) 10mm,t,4043.76,https://www.metals4u.co.uk/shop-by-application/building-construction/concrete-reinforcement/rebar/7549-p,1624 metres per ton x cost per metre  10mm    May 24 ce updates £2.49  exc vat added url ,direct,meter,1.0,,screenshots\case_4.png,0,1.0
5,BME4006,High Yield bar reinforcement (Grade 500) 8mm,t,4836.12,https://www.metals4u.co.uk/shop-by-application/building-construction/concrete-reinforcement/rebar/7551-p,2532 metres per ton x cost per metre   8mm     May 24 ce updates £1.91  exc vat added url ,direct,meter,1.0,,screenshots\case_5.png,0,0.9068369917524198
6,BMF12002,Mild Steel 6 x 25mm flat arch bars,m,3.45,https://www.metals4u.co.uk/materials/mild-steel/mild-steel-flat/flat-black/2061-p,price per m      May 24 ce updates £3.45  exc vat added url         6 x 25mm flat arch bars   ,direct,meter,1.0,,screenshots\case_6.png,1,1.0
7,BMF12003,Mild Steel 6 x 30mm flat arch bars,m,3.95,https://www.metals4u.co.uk/materials/mild-steel/mild-steel-flat/flat-black/2062-p,price per m      May 24 ce updates £3.95  exc vat added url        6 x 30mm flat arch bars,direct,meter,1.0,,screenshots\case_7.png,1,1.0
8,BMF15003,10mm Diameter 316 Stainless Steel Round Bar x 500mm long,nr,5.97,https://www.metals4u.co.uk/materials/stainless-steel/stainless-steel-round/1694-p,price each nr  use calculate box for pricing 500mm  long May 24 ce updates ex vat added url ,direct,meter,1.0,,screenshots\case_8.png,1,0.9963566393216765
9,BMF15004,20mm Diameter 316 Stainless Steel Round Bar x 500mm long,nr,32.0,https://www.metals4u.co.uk/materials/stainless-steel/stainless-steel-round/1173-p,price each nr  use calculate box for pricing 500mm  long May 24 ce updates ex vat added url ,direct,meter,1.0,,screenshots\case_9.png,1,1.0
10,BMG1001,203 x 133 x 25 kg/m Universal beams.,t,3160.0,https://www.metals4u.co.uk/shop-by-application/building-construction/rsjs-i-beams-and-red-oxide-profiles/rsjs/11741-p,Based on 1m beam price £93.58 ex vat 22.3.23   (July 23 - 1000mm = 25kg weight ) Calc: 1000/25 = 40 x £95.58 = £3743.20 ex vat   see drop down menus    Jan 24  ce price  £79 ex vat Jan 24 price                                                         May 24 ce still £79 added url 1000/25 = 40 x 79 = 3160,direct,meter,1.0,,screenshots\case_10.png,0,1.0
11,BMG1002,203 x 203 x 46 kg/m Universal beams.,t,4565.22,https://www.metals4u.co.uk/shop-by-application/building-construction/rsjs-i-beams-and-red-oxide-profiles/rsjs/13686-p,price tonne (1000 divided by kg per metre  = 46kg ) x cost per metre  Calc 1000/46 = 21.73913 x price May 24  £200 per mtr exc vat    = 21.73913 x 200 = £4347.83   May 24 no change added url ,direct,meter,1.0,,screenshots\case_11.png,0,0.7861530824528712
12,BMG1003,Steel plate 3mm,m2,59.95,https://www.metals4u.co.uk/materials/mild-steel/mild-steel-sheet/sheets/2501-p,May24 ce update no change added url prcced per m ,direct,meter square,1.0,,screenshots\case_12.png,1,1.0
13,BMG1004,Steel equal angle 25mm x 3mm thick,m,3.49,https://www.metals4u.co.uk/materials/mild-steel/mild-steel-angle-iron/angle-iron-hot-rolled/equal-angle/2269-p,May 24 ce update  added url priced per m ,direct,meter,1.0,,screenshots\case_13.png,1,1.0
14,BMP2008,Black mild steel round bar 25mm,m,9.99,https://www.metals4u.co.uk/materials/mild-steel/mild-steel-round/round-black/2365-p,May24 ce update  added url priced per m ,direct,meter,1.0,,screenshots\case_14.png,1,0.9299385207975441
15,BMP26001,Galvanised mild steel waterbars 3 x 30mm,m,7.04,https://www.metals4u.co.uk/materials/mild-steel/mild-steel-galvanised/galvanised-flat/12550-p,May 24 ce update   exc vat added url priced per m ,direct,meter,1.0,,screenshots\case_15.png,1,0.9642226127167165
16,BMP26002,Galvanised mild steel waterbars 3 x 50mm,m,8.65,https://www.metals4u.co.uk/materials/mild-steel/mild-steel-galvanised/galvanised-flat/12551-p,May 24 ce update  previous price entered look incorrect  new price correct exc vat added url priced per m ,direct,meter,1.0,,screenshots\case_16.png,1,0.9710812333938577
17,19010755,Threaded Rod M6,m,1.32,https://www.metals4u.co.uk/fixtures-fittings/fasteners/fasteners-threaded-rod/threaded-rod-zinc-plated/8869-p,Mar 24 ce updates no changes,indirect,meter,1.0,,screenshots\case_17.png,1,0.9299385207975441
18,19010766,Threaded Rod M8,m,1.75,https://www.metals4u.co.uk/fixtures-fittings/fasteners/fasteners-threaded-rod/threaded-rod-self-colour/8791-p,https://www.metals4u.co.uk/fixtures-fittings/fasteners/fasteners-threaded-rod/threaded-rod-self-colour/8791-p,indirect,meter,1.0,,screenshots\case_18.png,1,0.8823838465712287
19,19010777,Threaded Rod M10,m,2.77,https://www.metals4u.co.uk/fixtures-fittings/fasteners/fasteners-threaded-rod/threaded-rod-self-colour/8792-p,https://www.metals4u.co.uk/fixtures-fittings/fasteners/fasteners-threaded-rod/threaded-rod-self-colour/8792-p,indirect,meter,1.0,,screenshots\case_19.png,1,0.8525796449539378
