Unnamed: 0,Code,Code.1,Description,Type,Unit,Rate,Extracted Price,New Rate (ex VAT),New Rate INCL VAT),% change,Discount,Wastage,Cost Code,Supplier Code,Supplier,URL,Comments,"Source
",Web,Status,Unnamed: 21,InApp Comment,cluster_type,cluster_probability,confidence
,BME4001,BME4001,High Yield bar reinforcement (Grade 500) 25mm,1.0,t,3923.4,,,,,0.0,0.1,17,7552,METALS4U,https://www.metals4u.co.uk/shop-by-application/building-construction/concrete-reinforcement/rebar/7552-p,260 meters per ton x cost per metre (note 24mm not 25mm but same)  May 24 ce updates £15.09 exc vat added url ,metals4u.co,Yes,,,,0,0.9410234562708897,0.12826007604599
,BME4002,BME4002,High Yield bar reinforcement (Grade 500) 20mm,1.0,t,3178.98,,,,,0.0,0.1,17,7550,METALS4U,https://www.metals4u.co.uk/shop-by-application/building-construction/concrete-reinforcement/rebar/7550-p,406 metres per ton x cost per metre    20mm   May 24 ce updates £7.83  exc vat added url ,metals4u.co,Yes,,,,0,1.0,1.0
,BME4003,BME4003,High Yield bar reinforcement (Grade 500) 16mm,1.0,t,3138.3,,,,,0.0,0.1,17,7548,METALS4U,https://www.metals4u.co.uk/shop-by-application/building-construction/concrete-reinforcement/rebar/7548-p,634 metres per ton x cost per metre    16mm    May 24 ce updates £4.95  exc vat added url ,metals4u.co,Yes,,,,0,0.7219100037047813,0.0
,BME4004,BME4004,High Yield bar reinforcement (Grade 500) 12mm,1.0,t,3558.16,,,,,0.0,0.1,17,7547,METALS4U,https://www.metals4u.co.uk/shop-by-application/building-construction/concrete-reinforcement/rebar/7547-p,1126 metres per ton x cost per metre  12mm    May 24 ce updates £3.16  exc vat added url ,metals4u.co,Yes,,,,0,0.9362156734427759,0.36503612995147705
,BME4005,BME4005,High Yield bar reinforcement (Grade 500) 10mm,1.0,t,4043.76,,,,,0.0,0.1,17,7549,METALS4U,https://www.metals4u.co.uk/shop-by-application/building-construction/concrete-reinforcement/rebar/7549-p,1624 metres per ton x cost per metre  10mm    May 24 ce updates £2.49  exc vat added url ,metals4u.co,Yes,,,,0,0.9026589200661034,0.2940472960472107
,BME4006,BME4006,High Yield bar reinforcement (Grade 500) 8mm,1.0,t,4836.12,,,,,0.0,0.1,17,7551,METALS4U,https://www.metals4u.co.uk/shop-by-application/building-construction/concrete-reinforcement/rebar/7551-p,2532 metres per ton x cost per metre   8mm     May 24 ce updates £1.91  exc vat added url ,metals4u.co,Yes,,,,0,0.9410234562708897,0.019095122814178467
,BMF12002,BMF12002,Mild Steel 6 x 25mm flat arch bars,2.0,m,3.45,,,,,0.0,0.0,17,2061,METALS4U,https://www.metals4u.co.uk/materials/mild-steel/mild-steel-flat/flat-black/2061-p,price per m      May 24 ce updates £3.45  exc vat added url         6 x 25mm flat arch bars   ,metals4u.co,Yes,,,,1,1.0,0.19372928142547607
,BMF12003,BMF12003,Mild Steel 6 x 30mm flat arch bars,2.0,m,3.95,,,,,0.0,0.0,17,2062,METALS4U,https://www.metals4u.co.uk/materials/mild-steel/mild-steel-flat/flat-black/2062-p,price per m      May 24 ce updates £3.95  exc vat added url        6 x 30mm flat arch bars,metals4u.co,Yes,,,,1,1.0,0.20043349266052246
,BMF15003,BMF15003,10mm Diameter 316 Stainless Steel Round Bar x 500mm long,,nr,5.97,,,,,0.0,0.0,17,1694,METALS4U,https://www.metals4u.co.uk/materials/stainless-steel/stainless-steel-round/1694-p,price each nr  use calculate box for pricing 500mm  long May 24 ce updates ex vat added url ,metals4u.co,Yes,,,,1,1.0,1.0
,BMF15004,BMF15004,20mm Diameter 316 Stainless Steel Round Bar x 500mm long,,nr,32.0,,,,,0.0,0.0,17,1173,METALS4U,https://www.metals4u.co.uk/materials/stainless-steel/stainless-steel-round/1173-p,price each nr  use calculate box for pricing 500mm  long May 24 ce updates ex vat added url ,metals4u.co,Yes,,,,1,0.9750329875788722,0.010956227779388428
,BMG1001,BMG1001,203 x 133 x 25 kg/m Universal beams.,,t,3160.0,,3160.0,,0.0,0.0,0.0,17,11741     multiply x 40 ,METALS4U,https://www.metals4u.co.uk/shop-by-application/building-construction/rsjs-i-beams-and-red-oxide-profiles/rsjs/11741-p,Based on 1m beam price £93.58 ex vat 22.3.23   (July 23 - 1000mm = 25kg weight ) Calc: 1000/25 = 40 x £95.58 = £3743.20 ex vat   see drop down menus    Jan 24  ce price  £79 ex vat Jan 24 price                                                         May 24 ce still £79 added url 1000/25 = 40 x 79 = 3160,metals4u.co,Yes,,,,0,1.0,0.33115917444229126
